params,max_depth_标签,param_n_estimators,mean_test_score,std_test_score,rank_test_score,mean_train_score,mean_fit_time
"{'max_depth': 3, 'n_estimators': 50}",3,50,0.9619047619047618,0.03563483225498992,1,0.9833333333333334,0.035402965545654294
"{'max_depth': 3, 'n_estimators': 100}",3,100,0.9619047619047618,0.03563483225498992,1,0.9833333333333334,0.062372016906738284
"{'max_depth': 5, 'n_estimators': 50}",5,50,0.9523809523809523,0.04259177099999599,3,1.0,0.03225321769714355
"{'max_depth': 5, 'n_estimators': 100}",5,100,0.9523809523809523,0.04259177099999599,3,1.0,0.060015106201171876
"{'max_depth': None, 'n_estimators': 50}",None(不限深),50,0.9523809523809523,0.04259177099999599,3,1.0,0.03359332084655762
"{'max_depth': None, 'n_estimators': 100}",None(不限深),100,0.9523809523809523,0.04259177099999599,3,1.0,0.06597285270690918
